window,model,train_rows,test_rows,fit_sec,predict_sec,MAE,RMSE,MAPE_%,sMAPE_%,bias
1,SeasonalNaive,2160,24,2.00001522898674e-07,0.0007792999967932701,710.6886346527782,936.7479694779594,2.282575152782343,2.3038725735197967,-300.042247847223
1,SeasonalES,2160,24,0.0007811999530531466,0.0007162000401876867,640.8028535731368,878.0828085558445,2.015638036584213,2.0365305354517567,-309.69860920531
1,LinearRegression,2160,24,0.01597609999589622,0.21770869998726994,636.4336408387595,972.9393479091904,1.9152067935629518,1.943396151473843,-486.88948076440283
1,RandomForest,2160,24,0.9497878000256605,0.24031329998979345,686.5844009805919,978.5493354513667,2.0563613157034277,2.0923796574207842,-650.4595240030244
1,LightGBM,2160,24,0.19616520003182814,0.18958319997182116,718.539247050605,1013.8057872616249,2.1797408014868447,2.2201821155091546,-689.0517437621301
2,SeasonalNaive,2160,24,3.00002284348011e-07,0.0006154000293463469,1204.731728333333,1655.7926641229642,3.733403446301469,3.6270302259486957,1057.372201388889
2,SeasonalES,2160,24,0.0007583000115118921,0.0007993000326678157,1179.1508537133213,1561.0850071267016,3.6810163909725047,3.5858772024049115,995.4324795478269
2,LinearRegression,2160,24,0.015793300000950694,0.1911565000191331,603.2927417936929,841.7908607063761,1.89430268507909,1.8801267135624795,190.77363276348265
2,RandomForest,2160,24,0.9123448000173084,0.2289998999913223,531.3220077501751,891.9824999607024,1.640307834277574,1.6188818796742392,268.23226360067764
2,LightGBM,2160,24,0.1826230000006035,0.17580979998456314,463.3511904579391,672.2819733363932,1.470772270737664,1.4626472907676393,157.27028828676671
3,SeasonalNaive,2160,24,2.9994407668709755e-07,0.0005162000306881964,1087.9594420833344,1232.8333049989374,4.103270420837642,3.989111374941518,1063.9628218055561
3,SeasonalES,2160,24,0.0006659000064246356,0.00043269997695460916,1271.5213926414938,1446.6901089955463,4.668810612485861,4.526618557706876,1263.0493177151213
3,LinearRegression,2160,24,0.012977599981240928,0.17405129998223856,1013.6862021866328,1181.2851118941637,3.6767937899162684,3.5840829330046904,998.2337884411846
3,RandomForest,2160,24,0.9001604999648407,0.22847200004616752,904.7092200899178,1090.6594721423467,3.1520933434270084,3.0861891637899737,871.154327416339
3,LightGBM,2160,24,0.20394209999358281,0.17791580001357943,680.9121274911914,828.389594206691,2.433352870275938,2.4064462932381696,397.6721582103417
